HDI,country
0.511,Afghanista
0.795,Albania
0.748,Algeria
0.868,Andorra
0.581,Angola
0.778,Antigua
0.845,Argentina
0.776,Armenia
0.944,Australia
0.922,Austria
0.756,Azerbaijan
0.814,Bahamas
0.852,Bahrain
0.632,Bangladesh
0.814,Barbados
0.823,Belarus
0.931,Belgium
0.716,Belize
0.545,Benin
0.654,Bhutan
0.718,Bolivia
0.78,Bosnia Her
0.735,Botswana
0.765,Brazil
0.838,Brunei
0.816,Bulgaria
0.452,Burkina Fa
0.433,Burundi
0.665,Cape Verde
0.594,Cambodia
0.563,Cameroon
0.929,Canada
0.397,Central Af
0.398,Chad
0.851,Chile
0.761,China
0.767,Columbia
0.554,Comoros
0.574,Congo
0.48,Congo (Democratic Republic of the)
0.81,Costa Rica
0.851,Croatia
0.783,Cuba
0.887,Cyprus
0.9,Czechia
0.538,Côte d'Ivoire
0.94,Denmark
0.524,Djibouti
0.742,Dominica
0.756,Dominican
0.759,Ecuador
0.707,Egypt
0.673,El Salvado
0.592,Equatorial
0.459,Eritrea
0.892,Estonia
0.611,Eswatini (Kingdom of)
0.485,Ethiopia
0.743,Fiji
0.938,Finland
0.901,France
0.703,Gabon
0.496,Gambia
0.812,Georgia
0.947,Germany
0.611,Ghana
0.888,Greece
0.779,Grenada
0.663,Guatemala
0.477,Guinea
0.48,Guinea-Bis
0.682,Guyana
0.51,Haiti
0.634,Honduras
0.949,Hong Kong
0.854,Hungary
0.949,Iceland
0.645,India
0.718,Indonesia
0.783,Iran
0.674,Iraq
0.955,Ireland
0.919,Israel
0.892,Italy
0.734,Jamaica
0.919,Japan
0.729,Jordan
0.825,Kazakhstan
0.601,Kenya
0.63,Kiribati
0.916,South Kore
0.806,Kuwait
0.697,Kyrgystan
0.613,Lao P.Dem.
0.866,Latvia
0.744,Lebanon
0.527,Lesotho
0.48,Liberia
0.724,Libyan Ara
0.919,Liechtenst
0.882,Lithuania
0.916,Luxembourg
0.528,Madagascar
0.483,Malawi
0.81,Malaysia
0.74,Maldives
0.434,Mali
0.895,Malta
0.704,Marshall I
0.546,Mauritania
0.804,Mauritius
0.779,Mexico
0.62,Micronesia
0.75,Moldova
0.737,Mongolia
0.829,Montenegro
0.686,Morocco
0.456,Mozambique
0.583,Burma(Myan
0.646,Namibia
0.602,Nepal
0.944,Netherland
0.931,New Zealan
0.66,Nicaragua
0.394,Niger
0.539,Nigeria
0.774,Macedonia
0.957,Norway
0.813,Oman
0.557,Pakistan
0.826,Palau
0.708,"Palestine, State of"
0.815,Panama
0.555,Papua New
0.728,Paraguay
0.777,Peru
0.718,Philippine
0.88,Poland
0.864,Portugal
0.848,Qatar
0.828,Romania
0.824,Russian Fe
0.543,Rwanda
0.779,Saint Kitt
0.759,St Lucia
0.738,St Vincent
0.715,Somalia
0.625,Sao Tome and Principe
0.854,Saudi Arab
0.512,Senegal
0.806,Serbia
0.796,Seychelles
0.452,Sierra Leo
0.938,Singapore
0.86,Slovakia
0.917,Slovenia
0.567,Solomon Is
0.709,South Afri
0.433,South Sudan
0.904,Spain
0.782,Sri Lanka
0.51,Sudan
0.738,Suriname
0.945,Sweden
0.955,Switzerlan
0.567,Syria
0.668,Tajikistan
0.529,Tanzania
0.777,Thailand
0.606,East Timor
0.515,Togo
0.725,Tonga
0.796,Trinidad a
0.74,Tunisia
0.82,Turkey
0.715,Turkmenist
0.544,Uganda
0.779,Ukraine
0.89,United Ara
0.932,UK
0.926,USA
0.817,Uruguay
0.72,Uzbekistan
0.609,Vanuatu
0.711,Venezuela
0.704,Vietnam
0.47,Yemen
0.584,Zambia
0.571,Zimbabwe
..,Human Development
0.898,Very high human development
0.753,High human development
0.631,Medium human development
0.513,Low human development
0.689,Developing Countries
..,Regions
0.705,Arab States
0.747,East Asia and the Pacific
0.791,Europe and Central Asia
0.766,Latin America and the Caribbean
0.641,South Asia
0.547,Sub-Saharan Africa
0.538,Least Developed Countries
0.728,Small Island Developing States
0.9,Organization for Economic Co-operation and Development
0.737,World
